convenience_store,fips_state_county_tract_code,gas_station,meal_delivery,meal_takeaway,park,subway_station,supermarket,train_station
4.0,36005025400,5.0,2.0,3.0,0.0,0.0,4.0,0.0
10.0,36005025500,4.0,4.0,2.0,13.0,2.0,13.0,1.0
3.0,36005025600,4.0,2.0,4.0,4.0,0.0,6.0,0.0
10.0,36005025700,3.0,0.0,3.0,10.0,1.0,5.0,2.0
11.0,36005026100,6.0,4.0,7.0,11.0,3.0,12.0,0.0
13.0,36005026300,6.0,2.0,5.0,15.0,5.0,9.0,1.0
12.0,36005026400,3.0,4.0,4.0,5.0,3.0,1.0,0.0
12.0,36005026500,5.0,6.0,5.0,15.0,5.0,14.0,0.0
6.0,36005026601,1.0,4.0,3.0,2.0,3.0,1.0,0.0
6.0,36005026602,1.0,4.0,3.0,3.0,2.0,1.0,0.0
8.0,36005026701,3.0,4.0,6.0,15.0,3.0,8.0,0.0
5.0,36005026702,3.0,6.0,7.0,14.0,2.0,11.0,0.0
10.0,36005026900,9.0,2.0,5.0,11.0,2.0,5.0,1.0
10.0,36005027300,4.0,7.0,6.0,13.0,3.0,9.0,0.0
2.0,36005027401,4.0,4.0,3.0,3.0,0.0,0.0,0.0
6.0,36047002000,3.0,4.0,6.0,5.0,2.0,12.0,0.0
2.0,36047002100,0.0,2.0,3.0,9.0,3.0,2.0,0.0
9.0,36047002200,6.0,3.0,5.0,4.0,2.0,7.0,0.0
4.0,36047002300,1.0,4.0,7.0,18.0,4.0,4.0,0.0
11.0,36047002901,1.0,4.0,13.0,18.0,1.0,3.0,0.0
7.0,36047003000,4.0,4.0,4.0,6.0,1.0,3.0,0.0
13.0,36047003100,1.0,5.0,17.0,20.0,9.0,7.0,1.0
13.0,36047003300,2.0,5.0,13.0,22.0,8.0,6.0,1.0
3.0,36047003400,0.0,3.0,0.0,6.0,0.0,2.0,0.0
10.0,36047003500,1.0,6.0,13.0,25.0,8.0,7.0,1.0
9.0,36047003600,2.0,5.0,5.0,8.0,2.0,4.0,0.0
18.0,36047003700,2.0,10.0,22.0,20.0,10.0,6.0,0.0
2.0,36047003800,0.0,5.0,4.0,8.0,0.0,2.0,0.0
13.0,36047003900,3.0,7.0,13.0,19.0,8.0,6.0,1.0
14.0,36047004100,3.0,11.0,16.0,19.0,9.0,4.0,1.0
18.0,36047004300,0.0,13.0,17.0,18.0,8.0,4.0,0.0
0.0,36047004400,0.0,5.0,5.0,5.0,2.0,0.0,0.0
12.0,36047004500,0.0,11.0,15.0,20.0,4.0,5.0,0.0
4.0,36047004600,1.0,9.0,10.0,6.0,0.0,2.0,0.0
10.0,36047004700,0.0,7.0,12.0,22.0,0.0,2.0,0.0
8.0,36047004900,0.0,11.0,12.0,19.0,4.0,5.0,0.0
10.0,36047005000,0.0,3.0,4.0,2.0,1.0,1.0,0.0
3.0,36047005100,4.0,2.0,7.0,13.0,1.0,2.0,0.0
4.0,36047005201,0.0,3.0,7.0,2.0,2.0,2.0,0.0
5.0,36047005202,0.0,4.0,1.0,6.0,2.0,2.0,0.0
0.0,36047005300,2.0,4.0,5.0,14.0,1.0,2.0,0.0
16.0,36047005400,4.0,8.0,4.0,9.0,1.0,3.0,0.0
6.0,36047005601,4.0,5.0,2.0,9.0,1.0,1.0,0.0
8.0,36047005602,4.0,1.0,4.0,9.0,1.0,2.0,0.0
18.0,36047005800,1.0,8.0,7.0,6.0,2.0,4.0,0.0
1.0,36047005900,4.0,5.0,5.0,19.0,0.0,1.0,0.0
16.0,36047006000,1.0,11.0,11.0,7.0,2.0,6.0,0.0
13.0,36047006200,0.0,11.0,13.0,2.0,2.0,6.0,0.0
6.0,36047006300,4.0,7.0,5.0,18.0,1.0,2.0,0.0
16.0,36047006400,2.0,9.0,11.0,1.0,2.0,6.0,0.0
4.0,36047006500,8.0,5.0,6.0,21.0,2.0,1.0,0.0
11.0,36047006600,2.0,7.0,8.0,3.0,2.0,5.0,0.0
8.0,36047006700,3.0,6.0,6.0,19.0,2.0,4.0,0.0
13.0,36047006800,5.0,5.0,7.0,7.0,2.0,2.0,0.0
8.0,36047006900,2.0,12.0,12.0,14.0,3.0,4.0,0.0
15.0,36047007000,6.0,6.0,3.0,5.0,2.0,3.0,0.0
15.0,36047007100,5.0,6.0,11.0,21.0,4.0,4.0,1.0
12.0,36047007200,9.0,3.0,5.0,4.0,3.0,6.0,0.0
14.0,36047007400,9.0,4.0,7.0,3.0,2.0,9.0,0.0
7.0,36047007500,3.0,7.0,9.0,13.0,3.0,1.0,0.0
11.0,36047007600,5.0,5.0,12.0,1.0,2.0,9.0,0.0
4.0,36047007700,7.0,4.0,9.0,14.0,2.0,1.0,0.0
7.0,36047007800,3.0,7.0,10.0,3.0,3.0,7.0,0.0
10.0,36047008000,1.0,4.0,10.0,5.0,2.0,6.0,0.0
10.0,36047008200,4.0,4.0,9.0,12.0,3.0,8.0,0.0
6.0,36047008400,5.0,4.0,9.0,10.0,2.0,7.0,0.0
